url,title,corpname,location,content
https://kr.indeed.com/rc/clk?jk=2d6e7d69a6ba52d6&fccid=d29ddc820620b02e&vjs=3,전산팀 개발 담당,Success Korea,서울 역삼동,"남자 -4년제 대졸이상 / 전공무관 -기술요구사항: JAVA/WEB, PYTHON, ORACLE: ERP I/F API, CRAWLING 개발... 기술요구사항: JAVA/WEB, PYTHON, ORACLE: ERP I/F..."
https://kr.indeed.com/rc/clk?jk=dbe0f6f7da20d201&fccid=56e12959d04ef145&vjs=3,"Principal, Back-end Engineer (Seller Por...",Coupang 3.1,서울,Expert with one or more programming language... Java/ Python/Scala * Understanding of architectural principles and design...
https://kr.indeed.com/rc/clk?jk=fe69337a085bae5b&fccid=d29ddc820620b02e&vjs=3,Linux 서버 개발자,Success Korea,성남 판교역,"격요건] - 경력 5~6년 이상(선임/과장급) - C/C++, Python 개발 가능 - Web서버, DB 운용 경험 [우대요건] - SELinux... 선임/과장급) - C/C++, Python 개발 가능 - Web서버, DB..."
https://kr.indeed.com/rc/clk?jk=2900b41c0b091e46&fccid=d29ddc820620b02e&vjs=3,머신러닝 개발자,Success Korea,서울,"격요건] - 수학, 컴퓨터공학, 통계학, 산업공학 등 직무 관련 전공 - Python, Java 등 프로그래밍 개발 능력 - CNN, RNN, GAN... 산업공학 등 직무 관련 전공 - Python, Java 등 프로그래밍 개발..."
https://kr.indeed.com/rc/clk?jk=43bf0c7e2b10e9b5&fccid=e7e58fbff0c71b74&vjs=3,Operations Manager (운영팀장) - 한국,Beam,서울,"Knowledge of SQL, Python, R, GIS... 무엇이든 할 수 있다""는 태도 • 관련업계 경력자 우대 • SQL, Python, R, GIS 숙련자 우대 • 영어/한국어 능통자, 우수한 영어 말하..."
https://kr.indeed.com/rc/clk?cmp=%5B%ED%97%A4%EB%93%9C%ED%97%8C%ED%8C%85%5D-%EA%B5%AD%EB%82%B4%EC%9C%A0%EB%AA%85%EB%8C%80%EA%B8%B0%EC%97%85&ti=%EB%8C%80%EA%B8%B0%EC%97%85+%EA%B2%80%EC%83%89%EC%97%94%EC%A7%84+%EA%B0%9C%EB%B0%9C&jk=c58a6764306089e9&fccid=6b77749dbefab4c1&vjs=3,대기업 검색엔진 개발 (대리과장급),차량IT 전문 기업 (대기업),서울,"정보검색에 대한 경험 보유 [기술스택] - OS : linux - 언어: java, scala, python, c++ 중 하나 이상의 언어 능숙자 - 프레임워크: spring boot - tool : Intellij..."
https://kr.indeed.com/rc/clk?jk=989584aa51f96aa1&fccid=d29ddc820620b02e&vjs=3,SW개발(3명),Success Korea,서울 삼성동,"++, C # 중 하나의 개발언어 능숙자 - Javascript, Python, PHP, Ruby, Perl, Delphi중 하나도 가능한 분 우대... 능숙자 - Javascript, Python, PHP, Ruby, Perl..."
https://kr.indeed.com/rc/clk?jk=2936adf2a7318db5&fccid=d29ddc820620b02e&vjs=3,웹개발자,Success Korea,서울 잠실역,"이스, 카산드라등) 경험자 우대 - TDD 및 스크립트 언어(Ruby, Python, Javascript) 경험자 우대 [전형절차] 실무면접(테크면... 및 스크립트 언어(Ruby, Python, Javascript) 경험자..."
https://kr.indeed.com/rc/clk?jk=a758b91ea2f0dd2b&fccid=d29ddc820620b02e&vjs=3,SW개발 매니저,Success Korea,서울 삼성동,"++, C # 중 하나의 개발언어 능숙자 - Javascript, Python, PHP, Ruby, Perl, Delphi중 하나도 가능한 분 우대... 능숙자 - Javascript, Python, PHP, Ruby, Perl..."
https://kr.indeed.com/rc/clk?jk=79da9b878d3d8709&fccid=b8ffa8936fc04868&vjs=3,저축은행 다이랙트마케팅팀 데이터분석,국내자본 저축은행,서울 구로구,"Insight 도출 업무 ex) R, Python 등 고급 분석 Tool을... 이상 우대) - 데이터사이언스, 컴퓨터공학, 수학/통계학 전공 - R/ Python 활용 중급 이상 *우대사항 : 데이터분석 관련 자격증(ADSP) 등..."
https://kr.indeed.com/rc/clk?jk=2dc48511f09843fa&fccid=d29ddc820620b02e&vjs=3,빅데이터 분석/활용(과~차장),Success Korea,서울,"이상 - 전문지식 ※ 통계분석(SAS, R 등) ※ 빅데이터분석 ( Python, Spark, Hadoop, Aster 등) ※ 인공지능, 머신... R 등) ※ 빅데이터분석 ( Python, Spark, Hadoop..."
